scope,customer,love,like,dislike,rounds,player1_win_rate,appeal_tie_rate,price_tie_rate,top_winning_bartender,top_bartender_win_share,bias_above_equal_share,winner_bartender_counts
overall,College Regular,Beer,Cheap,Premium,39920,0.5051102204408817,0.30483466933867737,0.17154308617234468,Ace,0.23048597194388779,0.08762882908674494,Ace:9201|Mara:5473|Theo:5362|June:4878|Nico:5140|Sol:4752|Rae:5114
overall,Night Shift Nurse,Clean,Fresh,Strong,40046,0.5038955201518254,0.30564850422014683,0.19797233181840884,Mara,0.1657593767167757,0.02290223385963286,Ace:5157|Mara:6638|Theo:5926|June:4719|Nico:5974|Sol:5683|Rae:5949
overall,Whiskey Collector,Whiskey,Premium,Cheap,40201,0.5008084376010546,0.31138528892316114,0.13223551652943957,Theo,0.2499689062461133,0.10711176338897044,Ace:4783|Mara:4972|Theo:10049|June:5530|Nico:4682|Sol:5555|Rae:4630
overall,Garden Club Host,Gin,Fresh,Creamy,40150,0.5034869240348693,0.3713823163138232,0.1835865504358655,Nico,0.23982565379825654,0.0969685109411137,Ace:5686|Mara:6053|Theo:4786|June:4085|Nico:9629|Sol:5208|Rae:4703
overall,Beach Traveler,Rum,Fruity,Bitter,39692,0.5026957573314522,0.3189811548926736,0.11231482414592361,June,0.23055023682354125,0.0876930939663984,Ace:4512|Mara:5446|Theo:3524|June:9151|Nico:6023|Sol:5314|Rae:5722
overall,Agave Hunter,Tequila,Strong,Sweet,39938,0.5005258150132705,0.36393910561370124,0.16653312634583606,Sol,0.23566528118583804,0.0928081383286952,Ace:4380|Mara:3966|Theo:6956|June:5710|Nico:4009|Sol:9412|Rae:5505
overall,Wine Critic,Wine,Savory,Cheap,40226,0.5011683985482026,0.32277631382687816,0.12069308407497638,Rae,0.2266444588077363,0.08378731595059344,Ace:5752|Mara:4430|Theo:4574|June:6157|Nico:5837|Sol:4359|Rae:9117
overall,Dessert Date,Sweet,Creamy,Bitter,40017,0.4949396506484744,0.2654371891945923,0.1306694654771722,Theo,0.18619586675662844,0.04333872389948559,Ace:3585|Mara:6259|Theo:7451|June:6670|Nico:5439|Sol:6181|Rae:4432
overall,Punk Drummer,Strong,Beer,Clean,39548,0.501188429250531,0.2452209972691413,0.1541923738242136,Ace,0.19475068271467583,0.05189353985753298,Ace:7702|Mara:3790|Theo:7314|June:5881|Nico:3742|Sol:5327|Rae:5792
overall,Marathoner,Fresh,Clean,Creamy,40103,0.501383936363863,0.3083809191332319,0.2039248933994963,Nico,0.1530309453158118,0.010173802458668946,Ace:5563|Mara:6110|Theo:5770|June:5093|Nico:6137|Sol:5488|Rae:5942
overall,Spice Blogger,Spicy,Tequila,Sweet,39858,0.5030608660745647,0.2747503637914597,0.18766621506347533,Sol,0.1723117065582819,0.029454563701139053,Ace:5619|Mara:5881|Theo:5003|June:5418|Nico:5694|Sol:6868|Rae:5375
overall,Citrus Fan,Sour,Vodka,Creamy,39740,0.4972320080523402,0.2309763462506291,0.12033215903371917,Mara,0.2262455963764469,0.08338845351930405,Ace:3736|Mara:8991|Theo:6001|June:5068|Nico:5400|Sol:6710|Rae:3834
overall,Executive,Premium,Wine,Cheap,39840,0.49731425702811244,0.27459839357429716,0.14144076305220885,Rae,0.16297690763052208,0.020119764773379234,Ace:5257|Mara:5530|Theo:5607|June:5874|Nico:5144|Sol:5935|Rae:6493
